coeff,time,N_C,PO(Te),PO(St)
0.0,0,0,0.0,0.2696022824346601
0.0,1,0,0.0,0.2696022824346601
0.0,2,0.0,0.0,0.2696022824346601
0.0,3,0.0,0.0,0.2696022824346601
0.0,4,0.0,0.0,0.2696022824346601
0.0,5,0.0,0.0,0.2696022824346601
0.0,6,0.0,0.0,0.2696022824346601
0.09999999999999999,0,5,0.05,0.270627934758203
0.09999999999999999,1,3,0.03,0.27064904469604856
0.09999999999999999,2,3.0,0.03,0.27064904469604856
0.09999999999999999,3,3.0,0.03,0.27064904469604856
0.09999999999999999,4,3.0,0.03,0.27064904469604856
0.09999999999999999,5,3.0,0.03,0.27064904469604856
0.09999999999999999,6,3.0,0.03,0.27064904469604856
0.19999999999999998,0,19,0.19,0.2802761513157411
0.19999999999999998,1,16,0.16,0.2800891242937472
0.19999999999999998,2,15.0,0.15,0.2802399508079021
0.19999999999999998,3,15.0,0.15,0.2802399508079021
0.19999999999999998,4,15.0,0.15,0.2802399508079021
0.19999999999999998,5,15.0,0.15,0.2802399508079021
0.19999999999999998,6,15.0,0.15,0.2802399508079021
0.3,0,34,0.34,0.30204097754256515
0.3,1,27,0.27,0.3019588761091314
0.3,2,26.0,0.26,0.30211484564038615
0.3,3,26.0,0.26,0.30211484564038615
0.3,4,26.0,0.26,0.30211484564038615
0.3,5,26.0,0.26,0.30211484564038615
0.3,6,26.0,0.26,0.30211484564038615
