coeff,time,N_C,PO(Te),PO(St)
0.1,0,13,0.13,0.30702752742503864
0.1,1,6,0.06,0.30767375264230007
0.1,2,6.0,0.06,0.30767375264230007
0.1,3,6.0,0.06,0.30767375264230007
0.1,4,6.0,0.06,0.30767375264230007
0.1,5,6.0,0.06,0.30767375264230007
0.1,6,6.0,0.06,0.30767375264230007
0.2,0,29,0.29,0.3213038478492386
0.2,1,19,0.19,0.32133818065148895
0.2,2,18.0,0.18,0.32144575081398913
0.2,3,18.0,0.18,0.32144575081398913
0.2,4,18.0,0.18,0.32144575081398913
0.2,5,18.0,0.18,0.32144575081398913
0.2,6,18.0,0.18,0.32144575081398913
0.3,0,41,0.41,0.3428631718661768
0.3,1,33,0.33,0.3463055110359
0.3,2,31.0,0.31,0.3465029628783565
0.3,3,31.0,0.31,0.3465029628783565
0.3,4,31.0,0.31,0.3465029628783565
0.3,5,31.0,0.31,0.3465029628783565
0.3,6,31.0,0.31,0.3465029628783565
